CARRERA,PERIODO,NIVEL,PARALELO,ASIGNATURA,PRIMER_PARCIAL,SEGUNDO_PARCIAL,RECUPERACION,NOTA_FINAL,ASISTENCIA,ESTADO_FINAL
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,A,DISEÑO MULTIMEDIA,7.55,9.6,,8.57,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,A,PROGRAMACION VISUAL,8.56,7.05,,7.81,95,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,A,FUNDAMENTOS DE ADMINISTRACION,9.6,10,,9.8,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,A,BASE DE DATOS AVANZADA,9.8,8.4,,9.1,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,A,INGLES B1.1 (TECHNICAL),8.6,10,,9.3,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,TERCERO,A,CALCULO DIFERENCIAL E INTEGRAL,8.8,10,,9.4,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,QUINTO,C,MULTIMEDIA,10,10,,10,96.25,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,QUINTO,C,IMAGEN COORPORTAVIA,9.2,9.4,,9.3,95.83,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,QUINTO,C,EMPRENDIMIENTO,7.49,9.74,,8.62,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,QUINTO,C,DISEÑO Y PROGRAMACION WEB,10,9.39,,9.7,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,A,INGLES B1.2 (SPECIFIC PURPOSE),8.33,9.84,,9.09,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,A,ESTADISTICA DESCRIPTIVA,8,10,,9,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,A,DIVERSIDAD Y CULTURA,10,10,,10,93.75,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,A,DESARROLLO DE APLICACIONES MOVILES,8.35,9.39,,8.87,98.75,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,A,PROGRAMACION DE APLICACIONES WEB,9.2,9.8,,9.5,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,A,LEGISLACION INFORMATICA,9.5,8.15,,8.82,96.88,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,SEGUNDO,E,METODOLOGIAS DEL DESARROLLO DE SOFTWARE,7.9,6.43,,7.17,98.44,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,SEGUNDO,E,PROGRAMACION ORIENTADA A OBJETO,7.45,10,,8.73,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,SEGUNDO,E,ALGEBRA Y TRIGONOMETRIA,6.1,5.1,8,7.04,98.44,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,SEGUNDO,E,BASE DE DATOS,6.1,7.9,,7,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,SEGUNDO,E,INGLES A2 (INTERMEDIO),6.8,7.22,,7.01,85.94,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,SEGUNDO,E,LENGUAJE Y COMUNICACIÓN,7,9.6,,8.3,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,SEGUNDO,D,FOTOGRAFIA,9.2,9.55,,9.38,81.25,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,SEGUNDO,D,DIBUJO ARTISTICO,8.7,8.06,,8.38,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,SEGUNDO,D,SOFTWARE DE ILUSTRACION,8.45,9.89,,9.17,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,SEGUNDO,D,RELACIONES PUBLICAS,10,9.2,,9.6,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,SEGUNDO,D,PSICOLOGIA DEL COLOR,9.9,9.45,,9.68,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,SEGUNDO,D,ETICA LABORAL Y PROFESIONAL,9.28,9.9,,9.59,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,QUINTO,C,COMPORTAMIENTO PROFESIONAL Y AMBIENTAL,9.6,8.3,,8.95,100,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,QUINTO,C,COMERCIO DIGITAL Y COMUNITY MANAGMENT,8.3,9.91,,9.11,96.25,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,QUINTO,C,TECNICAS DE NEGOCIOS Y COMERCIO INTERNACIONAL,9.9,10,,9.95,99.74,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,QUINTO,C,NEUROMARKETING,10,9.8,,9.9,98.44,APROBADO
TECNOLOGÍA SUPERIOR EN MARKETING,2023-1P,QUINTO,C,MARKETING ESTRATEGICO,9.6,9.8,,9.7,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,TERCERO,B,EDICION DE AUDIO Y VIDEO PREMIER,9.6,10,,9.8,93.75,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,TERCERO,B,TECNICAS DE IMPRESION,7.9,9.9,,8.9,98.44,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,TERCERO,B,SOFTWARE DE TRATAMIENTO DE IMAGEN,9.25,9,,9.13,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,TERCERO,B,SEMIOTICA,9.4,7.8,,8.6,100,APROBADO
DISEÑO GRÁFICO CON NIVEL EQUIVALENTE A TECNOLOGÍA SUPERIOR,2023-1P,TERCERO,B,ENVASE EMPAQUE Y EMBALAJE,8.59,10,,9.3,92.19,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,C,ESTADISTICA DESCRIPTIVA,7.05,9.04,,8.05,98.44,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,C,DESARROLLO DE APLICACIONES MOVILES,7.9,9.19,,8.55,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,C,DIVERSIDAD Y CULTURA,8.65,8.75,,8.7,96.88,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,C,PROGRAMACION DE APLICACIONES WEB,9.2,9.56,,9.38,94.79,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,C,LEGISLACION INFORMATICA,8.6,9,,8.8,100,APROBADO
TECNOLOGÍA SUPERIOR EN DESARROLLO DE SOFTWARE,2023-1P,CUARTO,C,INGLES B1.2 (SPECIFIC PURPOSE),8.3,8.55,,8.43,92.19,APROBADO
